id;message_seqno;service_seqno;send_message;subject;backup_message;backup_process_code;message_type;contents_type;receive_mobile_no;callback_no;job_type;send_reserve_date;template_code;mms_img_path_1;mms_img_path_2;mms_img_path_3;img_attach_flag;kko_btn_name;kko_btn_url;kko_btn_link_1;kko_btn_link_2;kko_btn_link_3;kko_btn_link_4;kko_btn_link_5;kko_img_path;kko_img_link_url;tax_level_1_nm;tax_level_2_nm;register_by;register_date;cust_backup_flag;cust_message_type;cust_backup_date;cust_data_1;cust_data_2;cust_data_3;cust_data_4;cust_data_5;cust_data_6;cust_data_7;cust_data_8;cust_data_9;cust_data_10;send_flag;send_date;resend_flag;mms_img_server_path_1;mms_img_server_path_2;mms_img_server_path_3;img_send_date;update_date;update_by;kko_img_server_path;intf_nm;sended_id
1;33138;81628;Assistant Ball compressing;Dynamic;unleash compressing;digital;Rubber;success;Steel;Cambridgeshire plum;UIC-Franc Assurance Markets;2021-06-17;bi-directional indexing;hack Bahrain;Front-line paradigm;Pula Executive multi-byte;Cross-platform;Intelligent grey;responsive;Seychelles Automotive;Keyboard;Solutions forecast grey;Steel Re-engineered Home;transmitting Customer;CSS generate;yellow Handmade Colombian;Checking neural;Architect bluetooth structure;세종 Incredible;2021-06-17;navigating;magnetic;2021-06-17;Infrastructure Music full-range;Tools Fuerte input;Hungary;Platinum;Assurance FTP Hat;동 Madagascar;광주 Shoes lavender;Auto monetize Credit;Architect;Gorgeous Salad mobile;Handcrafted Multi-tiered;2021-06-17;evolve;bandwidth;forecast;Cambridgeshire Cross-group Chief;2021-06-17;2021-06-17;Chips 동 alarm;Licensed 인천;읍 울산 purple;Granite enterprise
2;17880;7310;Customer Soap Intuitive;forecast;인천;Facilitator wireless;Small Group Wooden;Hryvnia systems;Falkland Plastic Architect;Intelligent bricks-and-clicks;knowledge 울산 Lead;2021-06-16;Granite;Marketing Dynamic;e-business;Grocery Concrete;invoice;Cambridgeshire Account;Chips strategy capability;Bedfordshire Berkshire channels;utilisation logistical;Engineer Team-oriented;redundant Configuration;hard;calculate deposit;Shoes bluetooth;e-markets Canadian;Dynamic;metrics;2021-06-17;copy;channels Swaziland customized;2021-06-17;open-source microchip Auto;interface scale;Generic;Intelligent projection Thailand;Concrete copying;India seize Customer;전남 Supervisor;Buckinghamshire indexing Senior;compress;Fantastic;relationships Angola;2021-06-17;channels;synthesize;Global Shoes;Krona back-end Factors;2021-06-17;2021-06-16;disintermediate Mobility;Sausages Manager;Metal quantifying;Anguilla Awesome
3;94188;64018;quantify;indexing Business-focused invoice;Wooden;Malawi;THX Shoes gold;definition;facilitate 면 Fish;Account 면 Dominica;dynamic pixel;2021-06-17;Savings XML 서울;Borders Account;even-keeled Borders Bedfordshire;niches;Card;Ethiopia web-readiness 서울;Health engage;면;대전 Factors;Loan 강원 Investor;help-desk feed;Usability;Quetzal human-resource;Cyprus Accountability back-end;compress Usability;Awesome Checking;Palau;2021-06-17;Outdoors hack indexing;hack Checking Buckinghamshire;2021-06-17;Data system;District mint;XML Optimization sticky;syndicate Cloned Industrial;Savings;access;Azerbaijanian;eyeballs approach Rubber;wireless Wooden;payment Chicken Accountability;Shoes Home;2021-06-17;Web;Shoes;initiative invoice;solution tan Response;2021-06-17;2021-06-17;disintermediate;payment SQL;vortals;overriding
4;15051;27487;olive Loan;Georgia;invoice Keyboard users;relationships;Guiana;Computer Guinea Chicken;lavender;transmit;Car COM;2021-06-17;JBOD Fully-configurable;Soft hack;monitor;광주;읍;광주 Islands;Tuna auxiliary;e-services Metrics;Sports Madagascar Cross-platform;impactful;transmitter robust;서울 Account PCI;전북 Fantastic bandwidth;withdrawal Tenge;Berkshire Loan;copy;Account quantifying Proactive;2021-06-17;visualize Sol Administrator;microchip Intranet;2021-06-17;connecting deposit;leading-edge;implementation Card Bedfordshire;viral;Account;revolutionize Expanded;functionalities calculating;Uruguay Borders;RSS Pound;bypass strategic;solid 울산;2021-06-17;Pa'anga Manat;tan supply-chains Industrial;transmitter yellow;digital connect;2021-06-17;2021-06-17;payment Small SDD;Borders;면 Bulgarian Public-key;online HTTP National
5;3113;42423;Steel override Buckinghamshire;RAM quantify 서울;multi-byte invoice;동 Ariary Bedfordshire;Enterprise-wide;Electronics;array Chicken;Wooden empowering 읍;cyan;2021-06-17;Books capability;reboot;bypass Rubber Sleek;Home transform;invoice 면 utilisation;composite;Sports;Emirates;indigo experiences withdrawal;compressing Fish;calculating;Branding composite;capability bluetooth;Unbranded Shirt Frozen;discrete Handcrafted Berkshire;Communications;RSS Liaison;2021-06-17;면 경북;wireless scale Mobility;2021-06-17;redundant;Central Practical;읍 Rustic;Cameroon;Chair silver;experiences attitude-oriented;Realigned technologies Account;technologies;framework;Implementation Movies;면 Frozen Franc;2021-06-17;광주 Berkshire calculate;invoice 동 Interactions;Concrete;Associate 동 Iran;2021-06-17;2021-06-17;SQL;Cambridgeshire;virtual optimizing Global;Metal Auto and
6;23802;20944;JBOD one-to-one Games;Implementation;interface;emulation;울산;Handmade 읍;Auto driver;bypass;impactful;2021-06-16;Salad architectures 광주;Fresh;transmitter Account bus;USB;Director Credit optical;quantify;Intelligent 동 Granite;Belize;invoice;integrate;card Intelligent 인천;copy unleash Lead;FTP Marketing Up-sized;Cambridgeshire Gorgeous;bus Soap;parse fuchsia;indigo of Borders;2021-06-17;SSL Officer gold;Cotton;2021-06-17;viral;THX;facilitate mobile;Interactions redefine Licensed;Public-key Kiribati;B2B;generate;면;knowledge 동;Money deploy;Madagascar tan Plastic;2021-06-17;Kiribati;optical Loan Car;customized Administrator;payment Mobility;2021-06-17;2021-06-17;invoice Soft fuchsia;Response bypass;deploy;clear-thinking Wooden
7;48265;14551;PNG Legacy tan;drive Cambridgeshire;Kwacha;Dollar;Investment;Supervisor 대구 algorithm;microchip Cordoba;동 Granite;Fresh GB holistic;2021-06-16;invoice Books;Cambridgeshire Incredible feed;IB back 면;SMTP 면;eco-centric engineer;Brazil real-time cultivate;benchmark;Personal indigo Implemented;web-enabled;Soft copy;Korea Cheese Bike;override Buckinghamshire;Factors;Licensed Chilean Account;Granite;aggregate encompassing;static overriding;2021-06-17;Dollar Bedfordshire;evolve;2021-06-17;Bike compress attitude;Fresh;Sri 읍 algorithm;Sausages;sensor drive;Music;Down-sized withdrawal web;vertical;Car Libyan;제주;conglomeration Home;2021-06-17;Rubber Plastic;card Frozen Card;강원 Granite;Global interfaces Forward;2021-06-16;2021-06-17;XML;array Ireland;Cambridgeshire open-source Berkshire;yellow
8;98131;92484;Lilangeni Sausages hacking;cross-platform Credit;parse Chips mindshare;mobile;Dynamic;Configurable;Global Aruba;open 인천;auxiliary Paradigm;2021-06-17;Research;cyan;Awesome Frozen software;면;Pataca port;Administrator;충남 Small 대전;quantify;Small;workforce Soft;red Self-enabling calculating;Directives Credit;AI 경남 feed;Account Pound Market;TCP Credit Account;Profound pixel;generate task-force Music;2021-06-17;Steel;대구 Agent;2021-06-17;Paradigm;Books cross-platform Shirt;Loan PCI card;Buckinghamshire Tasty Markets;mindshare Accounts Incredible;bandwidth;Pataca Savings withdrawal;Republic olive Streamlined;Garden Lanka;대구 Unbranded card;Bike transition;2021-06-17;Coordinator;동;bypassing matrix green;Integration Pants Avon;2021-06-16;2021-06-17;Electronics;Avon syndicate USB;광주 전남;Taka
9;46394;31611;Metal Niger;Cotton Lilangeni;Cotton teal;ubiquitous;Bedfordshire Generic;withdrawal Optimized Rubber;읍;up Implementation;Movies;2021-06-17;database;Organized payment turn-key;면 HDD;transmitting;enable Gloves e-commerce;Customer Croatia;Strategist monetize Home;Liberia Peso knowledge;Chief;Toys;connect calculate gold;경기 Associate National;Ball;connecting connecting Wooden;서울;Enhanced alarm Practical;Metrics Interactions;2021-06-17;Dalasi Computer Gold;toolset;2021-06-16;Handmade;bypass;Executive primary Outdoors;Soap;Concrete;SMS;읍 Account Koruna;Beauty Global;Berkshire Profit-focused;Architect Metal;stable envisioneer 대전;2021-06-16;Monaco;광주 plum;grow;users seamless;2021-06-16;2021-06-17;Incredible;auxiliary input Savings;quantify;Fresh
10;81453;17272;driver Loan TCP;대전 systems;Consultant deliverables migration;Officer;calculating Buckinghamshire Metal;bricks-and-clicks methodology evolve;interactive;Creative Dinar;Account Sri;2021-06-17;neural Account;cyan;Berkshire;Kiribati 인천;New;De-engineered transition Accounts;Dollar Peso input;Account;well-modulated Pants Berkshire;index;US;동;local;Lari;Account;Engineer transmitter;Shoes exuding Lao;2021-06-17;Fresh;Guernsey gold Cross-platform;2021-06-17;동 Malaysia;needs-based 면 Specialist;Account;Plastic interface 1080p;Communications Investment;deposit Mobility state;6th system;Market Gambia Pound;COM Dynamic Robust;leverage;Mobility Guinea 읍;2021-06-16;deposit Practical Tasty;Plastic;District olive;panel 경기 대전;2021-06-17;2021-06-16;Handmade;driver panel Metrics;cross-platform;Senior impactful 면
